data,y,y_pred
2022-01-16,0,0.40377676
2022-01-23,0,0.45559493
2022-01-30,1,0.38118815
2022-02-06,1,0.41358358
2022-02-13,0,0.44160777
2022-02-20,0,0.5488115
2022-02-27,0,0.39002022
2022-03-06,0,0.5310482
2022-03-13,0,0.3893494
2022-03-20,1,0.49697393
2022-03-27,0,0.6477405
2022-04-03,0,0.60224205
2022-04-10,0,0.58003145
2022-04-17,5,0.50078255
2022-04-24,0,0.4011789
2022-05-01,3,0.4046942
2022-05-08,1,0.45889288
2022-05-15,2,0.49826896
2022-05-22,0,1.7940925
2022-05-29,1,1.7945156
2022-06-05,1,1.5920104
2022-06-12,0,1.7337029
2022-06-19,1,2.106383
2022-06-26,1,1.9272298
2022-07-03,0,0.3762613
2022-07-10,2,0.3532347
2022-07-17,1,0.2970981
2022-07-24,1,0.28549546
2022-07-31,1,0.2694095
2022-08-07,1,0.21924974
2022-08-14,2,0.37910822
2022-08-21,0,0.28204525
2022-08-28,0,0.17804536
2022-09-04,1,0.21064396
2022-09-11,0,0.13983446
2022-09-18,1,0.16807806
2022-09-25,1,0.293623
2022-10-02,0,0.48292658
2022-10-09,0,0.3076495
2022-10-16,0,0.4684685
2022-10-23,0,0.6735708
2022-10-30,1,0.5140053
2022-11-06,0,-0.0853654
2022-11-13,0,-0.09042603
2022-11-20,0,-0.30006498
2022-11-27,0,-0.1872715
2022-12-04,0,-0.37311143
2022-12-11,0,-0.37400264
2022-12-18,0,-0.4437157
2022-12-25,0,-0.26173818
2023-01-01,0,-0.29987612
2023-01-08,0,-0.18825817
2023-01-15,0,-0.26081872
2023-01-22,2,-0.18629143
2023-01-29,1,0.5556773
2023-02-05,0,0.5716633
2023-02-12,1,0.5029516
2023-02-19,1,0.56683224
2023-02-26,5,0.567065
2023-03-05,11,0.7159331
2023-03-12,9,7.415527
2023-03-19,14,8.917387
2023-03-26,16,8.791839
2023-04-02,24,9.740899
2023-04-09,49,9.795546
2023-04-16,95,9.95788
2023-04-23,155,59.147163
2023-04-30,169,55.409134
2023-05-07,202,44.75965
2023-05-14,228,41.731625
2023-05-21,106,33.247177
2023-05-28,222,26.955093
2023-06-04,216,158.20476
2023-06-11,195,128.38391
