data,y,y_pred
2023-02-05,0.0,0.042000055
2023-02-12,0.0,-0.0007264763
2023-02-19,0.0,0.019662187
2023-02-26,0.0,0.0020384714
2023-03-05,0.0,0.0243185
2023-03-12,0.0,0.040091775
2023-03-19,1.0,-0.011439428
2023-03-26,2.0,-0.0062103197
2023-04-02,0.0,-0.010593578
2023-04-09,10.0,-0.0052687153
2023-04-16,4.0,-0.0035355426
2023-04-23,4.0,0.0058168024
2023-04-30,4.0,2.7415166
2023-05-07,9.0,3.257402
2023-05-14,14.0,3.1071978
2023-05-21,5.0,3.0835702
2023-05-28,3.0,2.4382672
2023-06-04,3.0,2.3754733
2023-06-11,0.0,3.9314723
2023-06-18,2.0,4.447811
2023-06-25,0.0,4.1839523
2023-07-02,2.0,4.2830215
2023-07-09,9.0,3.5447805
2023-07-16,3.0,3.3384695
2023-07-23,1.0,2.8107336
2023-07-30,0.0,3.0343182
2023-08-06,1.0,2.786031
2023-08-13,1.0,2.8382773
2023-08-20,0.0,2.386337
2023-08-27,0.0,2.3888986
2023-09-03,0.0,0.16221607
2023-09-10,0.0,0.14945956
2023-09-17,0.0,0.119269624
2023-09-24,0.0,0.03617823
2023-10-01,0.0,0.04023026
2023-10-08,0.0,0.050652836
2023-10-15,0.0,0.09364657
2023-10-22,0.0,0.055912383
2023-10-29,0.0,0.063766
2023-11-05,0.0,0.013277888
2023-11-12,0.0,0.087944575
2023-11-19,0.0,0.11411458
2023-11-26,0.0,0.049751226
2023-12-03,0.0,0.0117556155
2023-12-10,0.0,0.02772142
2023-12-17,0.0,0.009277821
2023-12-24,0.0,0.0059560873
2023-12-31,0.0,0.03438055
2024-01-07,0.0,-0.01386641
2024-01-14,0.0,0.0030612275
2024-01-21,0.0,-0.0062719136
2024-01-28,0.0,-0.015494555
2024-02-04,0.0,0.0011564177
2024-02-11,0.0,0.009955104
