data,y,y_pred
2023-01-08,0,0.15937701
2023-01-15,2,0.15937701
2023-01-22,0,0.35833415
2023-01-29,0,0.42711318
2023-02-05,1,0.68001586
2023-02-12,0,0.4524596
2023-02-19,2,0.15937701
2023-02-26,3,0.37230054
2023-03-05,3,2.176408
2023-03-12,2,2.2601147
2023-03-19,5,0.9785956
2023-03-26,8,2.6602116
2023-04-02,13,4.171325
2023-04-09,23,11.633499
2023-04-16,30,22.28053
2023-04-23,21,22.28053
2023-04-30,33,18.971899
2023-05-07,37,22.917574
2023-05-14,72,15.399217
2023-05-21,46,18.122774
2023-05-28,97,15.399217
2023-06-04,57,11.065648
2023-06-11,41,11.92949
2023-06-18,39,11.065648
2023-06-25,55,11.92949
2023-07-02,51,11.92949
2023-07-09,44,11.92949
2023-07-16,31,11.92949
2023-07-23,15,11.92949
2023-07-30,12,9.88023
2023-08-06,8,6.5756664
2023-08-13,12,6.5756664
2023-08-20,9,6.5756664
2023-08-27,9,6.5756664
2023-09-03,6,8.103025
2023-09-10,14,7.855636
2023-09-17,11,11.718786
2023-09-24,3,8.103025
2023-10-01,5,5.5856967
2023-10-08,6,5.3589387
2023-10-15,3,7.283881
2023-10-22,4,4.8315344
2023-10-29,5,3.5240898
2023-11-05,2,4.374319
2023-11-12,5,2.212507
2023-11-19,2,4.374319
2023-11-26,2,2.212507
2023-12-03,4,1.5598549
2023-12-10,5,2.5888538
2023-12-17,1,3.4940238
2023-12-24,0,1.5130991
2023-12-31,2,1.9362485
2024-01-07,4,1.6950955
2024-01-14,4,2.4025674
2024-01-21,9,2.4254353
2024-01-28,10,5.1582623
2024-02-04,12,6.892647
2024-02-11,22,6.892647
2024-02-18,63,49.470623
2024-02-25,78,50.891106
2024-03-03,132,50.3173
2024-03-10,170,50.30669
2024-03-17,224,49.417805
2024-03-24,215,44.672623
2024-03-31,112,48.41853
2024-04-07,29,47.827904
2024-04-14,33,53.76502
2024-04-21,56,46.694996
2024-04-28,59,51.805214
2024-05-05,45,51.805214
2024-05-12,28,49.967678
2024-05-19,15,36.68587
2024-05-26,21,11.593138
2024-06-02,21,35.667522
2024-06-09,24,35.667522
2024-06-16,12,38.698586
2024-06-23,12,8.769568
2024-06-30,19,8.769568
2024-07-07,17,20.919525
2024-07-14,9,11.675306
2024-07-21,4,7.808009
2024-07-28,7,5.5375667
2024-08-04,7,5.522045
2024-08-11,8,7.281233
2024-08-18,15,7.808009
2024-08-25,8,16.62981
2024-09-01,6,8.240986
2024-09-08,8,7.536445
2024-09-15,9,7.1709924
2024-09-22,5,8.240986
2024-09-29,2,5.803229
2024-10-06,7,1.7112837
2024-10-13,6,5.3882046
2024-10-20,4,7.536445
2024-10-27,8,4.6162367
2024-11-03,2,6.126222
2024-11-10,6,3.8260458
2024-11-17,8,5.3882046
2024-11-24,2,7.1709924
2024-12-01,4,3.7090447
2024-12-08,1,3.6549897
2024-12-15,1,1.3563501
2024-12-22,1,1.3602388
2024-12-29,1,0.7339627
2025-01-05,3,0.7339627
2025-01-12,0,2.3546727
2025-01-19,0,0.90344703
2025-01-26,0,1.3602388
2025-02-02,0,0.7128494
2025-02-09,1,0.6705451
2025-02-16,1,0.6705451
2025-02-23,0,0.6705451
2025-03-02,2,0.6916585
2025-03-09,2,1.3916676
2025-03-16,1,1.5049126
2025-03-23,1,1.452293
2025-03-30,0,1.3602388
2025-04-06,2,0.7339627
2025-04-13,1,1.3916676
2025-04-20,1,0.80479884
2025-04-27,0,1.2757759
2025-05-04,1,0.7882488
2025-05-11,4,0.77424264
2025-05-18,0,2.8137903
2025-05-25,0,0.9767666
2025-06-01,1,1.2858627
2025-06-08,2,0.7003616
2025-06-15,0,1.2770666
2025-06-22,1,0.88259923
2025-06-29,2,1.2858627
2025-07-06,1,1.3011595
2025-07-13,0,0.88259923
2025-07-20,1,1.2858627
2025-07-27,1,0.7882488
2025-08-03,0,0.6863555
2025-08-10,0,0.76415586
2025-08-17,0,0.7994551
2025-08-24,1,0.7108032
2025-08-31,0,0.6797281
2025-09-07,0,0.6797281
2025-09-14,1,0.76838
2025-09-21,2,0.7108032
2025-09-28,1,1.1391085
2025-10-05,0,0.8544869
2025-10-12,0,1.2801464
2025-10-19,1,0.84514046
2025-10-26,1,0.7108032
2025-11-02,0,0.6797281
2025-11-09,0,0.76838
2025-11-16,1,0.7994551
2025-11-23,1,0.7108032
2025-11-30,0,0.6797281
2025-12-07,0,0.76838
2025-12-14,0,0.78545547
2025-12-21,0,0.7437686
2025-12-28,0,0.6796121
2026-01-04,0,0.6796121
2026-01-11,0,0.6796121
2026-01-18,1,0.6796121
2026-01-25,0,0.6796121
2026-02-01,0,0.6796121
2026-02-08,0,0.721299
2026-02-15,0,0.7437686
2026-02-22,0,0.6796121
2026-03-01,1,0.6796121
2026-03-08,0,0.6796121
2026-03-15,1,0.6796121
2026-03-22,2,0.721299
2026-03-29,0,1.1913512
2026-04-05,4,0.7831906
2026-04-12,2,3.013949
2026-04-19,4,1.3593864
2026-04-26,3,3.1483667
2026-05-03,2,2.8442383
2026-05-10,6,1.8611451
2026-05-17,6,5.171905
2026-05-24,3,6.406649
2026-05-31,1,3.8778677
2026-06-07,1,1.5797449
2026-06-14,1,1.319895
2026-06-21,0,0.9255889
2026-06-28,0,0.786057
2026-07-05,1,0.786057
2026-07-12,2,0.6786033
2026-07-19,0,1.0356872
2026-07-26,0,0.9204745
2026-08-02,0,1.180363
