data,y,y_pred
2022-01-09,0,0.1502404
2022-01-16,0,0.47640926
2022-01-23,0,0.9102486
2022-01-30,1,0.90048814
2022-02-06,1,0.45712292
2022-02-13,0,0.804152
2022-02-20,0,0.8426565
2022-02-27,0,1.0869226
2022-03-06,0,0.9727801
2022-03-13,0,0.5682333
2022-03-20,1,0.7959101
2022-03-27,0,0.5403203
2022-04-03,0,0.94527376
2022-04-10,0,1.122146
2022-04-17,5,1.5086329
2022-04-24,0,3.7507913
2022-05-01,3,2.1527214
2022-05-08,1,4.6233864
2022-05-15,2,1.127572
2022-05-22,0,2.8791988
2022-05-29,1,0.4744835
2022-06-05,1,0.7180965
2022-06-12,0,0.97836065
2022-06-19,1,0.82605946
2022-06-26,1,0.52662283
2022-07-03,0,0.4869189
2022-07-10,2,-0.084037825
2022-07-17,1,0.9262397
2022-07-24,1,0.45457938
2022-07-31,1,0.62705356
2022-08-07,1,1.4265654
2022-08-14,2,0.2769023
2022-08-21,0,1.3699251
2022-08-28,0,0.7516052
2022-09-04,1,0.9478226
2022-09-11,0,0.50141734
2022-09-18,1,0.69220877
2022-09-25,1,1.139013
2022-10-02,0,0.23902693
2022-10-09,0,0.1610319
2022-10-16,0,0.4758514
2022-10-23,0,0.5080216
2022-10-30,1,0.014842319
2022-11-06,0,0.9156057
2022-11-13,0,1.0203518
2022-11-20,0,0.5300005
2022-11-27,0,0.35759476
2022-12-04,0,0.25417507
2022-12-11,0,0.34871143
2022-12-18,0,-0.07019385
2022-12-25,0,0.48067275
2023-01-01,0,0.32672912
2023-01-08,0,0.8297195
2023-01-15,0,0.34762543
2023-01-22,2,0.67770994
2023-01-29,1,1.3004867
2023-02-05,0,0.49118206
2023-02-12,1,0.705783
2023-02-19,1,0.86825085
2023-02-26,5,0.38129088
2023-03-05,11,4.2333627
2023-03-12,9,11.881282
2023-03-19,14,12.378523
2023-03-26,16,18.23666
2023-04-02,24,17.536507
2023-04-09,49,32.7445
2023-04-16,95,55.353077
2023-04-23,155,55.42742
2023-04-30,169,131.16673
2023-05-07,202,127.696266
2023-05-14,228,127.19404
2023-05-21,106,127.39616
2023-05-28,222,126.27568
2023-06-04,216,123.521324
2023-06-11,195,122.204704
2023-06-18,148,116.416084
2023-06-25,144,114.796234
2023-07-02,125,115.871666
2023-07-09,73,115.28139
2023-07-16,81,47.048504
2023-07-23,36,38.70713
2023-07-30,37,30.098667
2023-08-06,18,27.61215
