data,y,y_pred
2023-01-08,0.0,0.1464212
2023-01-15,0.0,0.1464212
2023-01-22,1.0,0.1464212
2023-01-29,0.0,0.1464212
2023-02-05,0.0,0.3679867
2023-02-12,0.0,0.1464212
2023-02-19,0.0,0.25996047
2023-02-26,0.0,0.1464212
2023-03-05,0.0,0.1464212
2023-03-12,0.0,0.1464212
2023-03-19,1.0,0.1464212
2023-03-26,2.0,0.1464212
2023-04-02,0.0,1.2709799
2023-04-09,10.0,0.3679867
2023-04-16,4.0,7.1864
2023-04-23,4.0,8.9490795
2023-04-30,4.0,7.2042985
2023-05-07,9.0,5.297955
2023-05-14,14.0,6.053866
2023-05-21,5.0,6.2519326
2023-05-28,3.0,8.541064
2023-06-04,3.0,2.1817
2023-06-11,0.0,2.2946048
2023-06-18,2.0,1.3052752
2023-06-25,0.0,0.9896712
2023-07-02,2.0,1.0626011
2023-07-09,9.0,0.93991786
2023-07-16,3.0,3.8641798
2023-07-23,1.0,3.7857454
2023-07-30,0.0,1.2639756
2023-08-06,1.0,0.62974
2023-08-13,1.0,0.4495522
2023-08-20,0.0,0.38706604
2023-08-27,0.0,0.62974
2023-09-03,0.0,0.33394936
2023-09-10,0.0,0.17041516
2023-09-17,0.0,0.17041516
2023-09-24,0.0,0.17041516
2023-10-01,0.0,0.17041516
2023-10-08,0.0,0.17041516
2023-10-15,0.0,0.17041516
2023-10-22,0.0,0.17041516
2023-10-29,0.0,0.17041516
2023-11-05,0.0,0.17041516
2023-11-12,0.0,0.17041516
2023-11-19,0.0,0.17041516
2023-11-26,0.0,0.17041516
2023-12-03,0.0,0.17041516
2023-12-10,0.0,0.17041516
2023-12-17,0.0,0.17041516
2023-12-24,0.0,0.17041516
